abnormality,abnormality_description,bucephalus,ceroid,cestode_body,cestode_gill,cestode_mantle,chlamydia,ciliate_digestive_tract,ciliate_gut,ciliate_large_gill,ciliate_small_gill,coastal_ecological_area,condition_code,condition_code_description,copepod_body,copepod_gill,copepod_gut_digestive_tubule,dermo,dermo_description,dermo_infection_intensity,dermo_numerical_value,diffuse_inflammation,diffuse_necrosis,digestive_tubule_atrophy,digestive_tubule_atrophy_description,edema,empty_displacement_volume,fiscal_year,focal_inflammation,focal_necrosis,full_displacement_volume,general_location,gonad_subsample_wet_weight,gonadal_index,gonadal_index_description,hydra_gill,latitude,length,longitude,metacercaria,multinucleated_sphere_x,multinucleated_sphere_x_description,nematode,nematopsis_body,nematopsis_gill,nematopsis_mantle,nemertine_gill,neoplasm,nst_sample_id,nst_site,other_trematode_sporocyst_gill,other_trematode_sporocyst_gut,pea_crab,proctoeces,protozoan_digestive_tubule,protozoan_gut,pseudoklossia,region,rickettsia_digestive_tubule,rickettsia_gut,sample_letter,sample_number,sex,source_file,species_name,specific_location,specific_region,state_name,station_letter,study_name,trematode_metacercariae,trematode_metacercariae_description,tumor,unidentified_gonoduct_organism,unidentified_organism,unusual_digestive_tubule,wet_weight,xenoma
0.0,Normal Gonad,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska South Central - Cook Inlet,,,0.0,0.0,0.0,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2009,0.0,0.0,,Cook Inlet,,S3,Gonad about half empty,,59.20715,3.9,-151.815,0.0,,,,0.0,0.0,0.0,,0.0,BA2009CICBME,CICB,,,0.0,,,,0.0,Alaska,0.0,0.0,,1,Male,KachemakBay_Mussel_Histopath.csv,,Chrome Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,2.4,0.0
0.0,Normal Gonad,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska South Central - Cook Inlet,,,0.0,0.0,0.0,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2009,0.0,0.0,,Cook Inlet,,S3,Gonad about half empty,,59.20715,3.6,-151.815,0.0,,,,0.0,0.0,0.0,,0.0,BA2009CICBME,CICB,,,0.0,,,,0.0,Alaska,0.0,0.0,,2,Male,KachemakBay_Mussel_Histopath.csv,,Chrome Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,1.3,0.0
0.0,Normal Gonad,0.0,0.0,,,,0.0,0.0,0.0,0.0,7.0,Alaska South Central - Cook Inlet,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2009,1.0,0.0,,Cook Inlet,,R0,Inactive,,59.20715,3.7,-151.815,0.0,,,,0.0,0.0,0.0,,0.0,BA2009CICBME,CICB,,,0.0,,,,0.0,Alaska,0.0,0.0,,3,Unknown,KachemakBay_Mussel_Histopath.csv,,Chrome Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,0.8,0.0
0.0,Normal Gonad,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska South Central - Cook Inlet,,,0.0,0.0,0.0,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2009,1.0,0.0,,Cook Inlet,,R0,Inactive,,59.20715,3.5,-151.815,0.0,,,,0.0,0.0,0.0,,0.0,BA2009CICBME,CICB,,,0.0,,,,0.0,Alaska,1.0,0.0,,4,Unknown,KachemakBay_Mussel_Histopath.csv,,Chrome Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,1.2,0.0
0.0,Normal Gonad,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska South Central - Cook Inlet,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2009,1.0,0.0,,Cook Inlet,,S3,Gonad about half empty,,59.20715,3.4,-151.815,0.0,,,,0.0,0.0,0.0,,0.0,BA2009CICBME,CICB,,,0.0,,,,0.0,Alaska,0.0,0.0,,5,Male,KachemakBay_Mussel_Histopath.csv,,Chrome Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,1.3,0.0
0.0,Normal Gonad,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska Southeast,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2009,0.0,0.0,,Kachemak Bay,,S4,Active emission has begun,,59.42355,5.0,-151.311,0.0,,,,0.0,0.0,0.0,,0.0,BA2009KBTBME,KBTB,,,0.0,,,,0.0,Alaska,0.0,0.0,,1,Male,KachemakBay_Mussel_Histopath.csv,,Tutka Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,2.7,0.0
2.0,About half the follicles are affected,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska Southeast,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2009,0.0,0.0,,Kachemak Bay,,S4,Active emission has begun,,59.42355,5.9,-151.311,0.0,,,,0.0,0.0,0.0,,0.0,BA2009KBTBME,KBTB,,,0.0,,,,0.0,Alaska,0.0,0.0,,2,Female,KachemakBay_Mussel_Histopath.csv,,Tutka Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,4.9,0.0
4.0,All follicles affected,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska Southeast,,,0.0,0.0,0.0,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2009,0.0,0.0,,Kachemak Bay,,S3,Gonad about half empty,,59.42355,5.1,-151.311,0.0,,,,0.0,0.0,0.0,,0.0,BA2009KBTBME,KBTB,,,0.0,,,,0.0,Alaska,0.0,0.0,,3,Female,KachemakBay_Mussel_Histopath.csv,,Tutka Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,3.3,0.0
4.0,All follicles affected,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska Southeast,,,0.0,0.0,0.0,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2009,0.0,0.0,,Kachemak Bay,,S2,"Gonadal Area reduced, follicles 1/3 full of ripe gametes",,59.42355,5.7,-151.311,0.0,,,,0.0,0.0,0.0,,1.0,BA2009KBTBME,KBTB,,,0.0,,,,0.0,Alaska,0.0,0.0,,4,Female,KachemakBay_Mussel_Histopath.csv,,Tutka Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,3.9,0.0
3.0,More than half the follicles are affected,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Alaska Southeast,,,0.0,0.0,0.0,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2009,0.0,0.0,,Kachemak Bay,,S4,Active emission has begun,,59.42355,5.1,-151.311,0.0,,,,0.0,0.0,0.0,,0.0,BA2009KBTBME,KBTB,,,0.0,,,,0.0,Alaska,0.0,0.0,,5,Female,KachemakBay_Mussel_Histopath.csv,,Tutka Bay,Alaska,Alaska,,Kachemak Bay Bioeffects,0.0,Uninfected,,0.0,0.0,0.0,2.9,0.0
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,1996,,0.0,,Green Bay,,D1,"Gametogenesis has begun, no ripe gametes visible",,44.637,2.2,-87.8082,,,,0.0,,,,,,MW1996GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,1,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,1996,,0.0,,Green Bay,,R0,Inactive,,44.637,2.3,-87.8082,,,,0.0,,,,,,MW1996GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,2,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,1996,,0.0,,Green Bay,,R0,Inactive,,44.637,2.1,-87.8082,,,,0.0,,,,,,MW1996GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,3,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,5.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,1996,,0.0,,Green Bay,,S2,"Gonadal Area reduced, follicles 1/3 full of ripe gametes",,44.637,2.2,-87.8082,,,,0.0,,,,,,MW1996GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,4,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,15.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,1996,,0.0,,Green Bay,,D2,"Ripe gametes present, gonad developed to 1/3 final size",,44.637,2.1,-87.8082,,,,0.0,,,,,,MW1996GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,5,Male,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,3.0,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",,,1998,,0.0,,Green Bay,,D1,"Gametogenesis has begun, no ripe gametes visible",,44.637,2.5,-87.8082,,,,0.0,,,,,,MW1998GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,1,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,3.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,1998,,0.0,,Green Bay,,S1,Only residual gametes remain,,44.637,2.4,-87.8082,,,,0.0,,,,,,MW1998GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,2,Male,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,2.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,1998,,0.0,,Green Bay,,R0,Inactive,,44.637,2.3,-87.8082,,,,0.0,,,,,,MW1998GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,3,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,3.0,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",,,1998,,0.0,,Green Bay,,S1,Only residual gametes remain,,44.637,2.3,-87.8082,,,,0.0,,,,,,MW1998GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,4,Male,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,1.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,1998,,0.0,,Green Bay,,S1,Only residual gametes remain,,44.637,2.4,-87.8082,,,,0.0,,,,,,MW1998GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,5,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena species,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2000,,0.0,,Green Bay,,D1,"Gametogenesis has begun, no ripe gametes visible",,44.637,2.2,-87.8082,,,,0.0,,,,,,MW2000GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,1,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2000,,0.0,,Green Bay,,R0,Inactive,,44.637,2.3,-87.8082,,,,0.0,,,,,,MW2000GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,2,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2000,,0.0,,Green Bay,,D1,"Gametogenesis has begun, no ripe gametes visible",,44.637,2.0,-87.8082,,,,0.0,,,,,,MW2000GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,3,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,3.0,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",,,2000,,0.0,,Green Bay,,R0,Inactive,,44.637,2.2,-87.8082,,,,0.0,,,,,,MW2000GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,4,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.4,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2000,,0.0,,Green Bay,,D1,"Gametogenesis has begun, no ripe gametes visible",,44.637,2.3,-87.8082,,,,0.0,,,,,,MW2000GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,5,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.2,
,,,1.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2002,,0.0,,Green Bay,,R0,Inactive,,44.637,2.2,-87.8082,,,,0.0,,,,,,MW2002GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,1,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.2,
,,,2.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2002,,0.0,,Green Bay,,R0,Inactive,,44.637,1.9,-87.8082,,,,0.0,,,,,,MW2002GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,2,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.1,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2002,,0.0,,Green Bay,,R0,Inactive,,44.637,2.1,-87.8082,,,,0.0,,,,,,MW2002GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,3,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.2,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2002,,0.0,,Green Bay,,R0,Inactive,,44.637,2.1,-87.8082,,,,0.0,,,,,,MW2002GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,4,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.2,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,3.0,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",,,2002,,0.0,,Green Bay,,R0,Inactive,,44.637,1.9,-87.8082,,,,0.0,,,,,,MW2002GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,5,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.2,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2004,,0.0,,Green Bay,,R0,Inactive,,44.637,2.4,-87.8082,,,,0.0,,,,,,MW2004GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,1,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.4,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,3.0,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",,,2004,,0.0,,Green Bay,,R0,Inactive,,44.637,2.1,-87.8082,,,,0.0,,,,,,MW2004GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,2,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,5.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2004,,0.0,,Green Bay,,R0,Inactive,,44.637,2.2,-87.8082,,,,0.0,,,,,,MW2004GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,3,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,1.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2004,,0.0,,Green Bay,,S1,Only residual gametes remain,,44.637,2.0,-87.8082,,,,0.0,,,,,,MW2004GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,4,Male,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,3.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2004,,0.0,,Green Bay,,R0,Inactive,,44.637,2.2,-87.8082,,,,0.0,,,,,,MW2004GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,5,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2006,,0.0,,Green Bay,,R0,Inactive,,44.637,2.3,-87.8082,,,,0.0,,,,,,MW2006GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,1,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,1.0,"Average wall thickness less than normal but greater then one-half normal thickness, most tubules showing some atrophy, some tubules still normal",,,2006,,0.0,,Green Bay,,S1,Only residual gametes remain,,44.637,2.3,-87.8082,,,,0.0,,,,,,MW2006GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,2,Female,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.3,
,,,0.0,,,,,,,,,Lake Michigan,,,,,,,,,,0.0,0.0,2.0,Wall thickness averaging about one-half as thick as normal,,,2006,,0.0,,Green Bay,,R0,Inactive,,44.637,2.1,-87.8082,,,,0.0,,,,,,MW2006GBBSDS,GBBS,,,,,,,,Great Lakes,,,a,3,Unknown,MusselWatch_GreatLakes_Zebra_Histopath.csv,Dreissena polymorpha,Bayshore Park,Great Lakes,Wisconsin,,Mussel Watch,0.0,Uninfected,,,0.0,0.0,0.2,
