Player,Salary,Experience,Japanese,Dominican,HR,League,Position.Name
"Tracy, Chad",5000000,4,0,0,8,National,Infielder
"Buscher, Brian",412500,0,0,0,4,American,Infielder
"Bautista, Jose A.",2400000,3,0,1,15,American,Infielder
"Roberts, Ryan",400000,0,0,0,0,National,Infielder
"Matsui, Hideki",13000000,6,1,0,9,American,Outfielder
"Kotsay, Mark",1500000,11,0,0,0,American,Outfielder
"Rasmus, Colby",400000,0,0,0,0,National,Outfielder
"Chavez, Endy",2050000,4,0,0,2,American,Outfielder
"Cabrera, Asdrubal",416700,1,0,0,6,American,Infielder
"Rios, Alex",6400000,4,0,0,15,American,Outfielder
"Cust, Jack",2800000,2,0,0,33,American,Outfielder
"Young, Dmitri",5000000,12,0,0,4,National,Infielder
"Lee, Carlos",19000000,10,0,0,28,National,Outfielder
"Flores, Jesus",415500,2,0,0,8,National,Catcher
"Jeter, Derek",21600000,12,0,0,11,American,Infielder
"Ausmus, Brad",1000000,15,0,0,3,National,Catcher
"Crawford, Carl",8250000,6,0,0,8,American,Outfielder
"Quintanilla, Omar",408000,0,0,0,2,National,Infielder
"Helms, Wes",950000,8,0,0,5,National,Infielder
"Scott, Luke",2400000,3,0,0,23,American,Outfielder
"Johnson, Reed",3000000,5,0,0,6,National,Outfielder
"Howard, Ryan",15000000,3,0,0,48,National,Infielder
"Ellis, Mark",5000000,6,0,0,12,American,Infielder
"Ojeda, Augie",712500,3,0,0,0,National,Infielder
"Suzuki, Kurt",410000,1,0,0,7,American,Catcher
"Kinsler, Ian",3200000,3,0,0,18,American,Infielder
"Jacobs, Mike",3275000,3,0,0,32,American,Infielder
"Drew, Stephen",1500000,2,0,0,21,National,Infielder
"Olivo, Miguel",2700000,6,0,1,12,American,Catcher
"Votto, Joey",437500,1,0,0,24,National,Infielder
"McCann, Brian",3700000,3,0,0,23,National,Catcher
"Church, Ryan",2800000,3,0,0,12,National,Outfielder
"Punto, Nick",4000000,7,0,0,2,American,Infielder
"Markakis, Nick",3350000,3,0,0,20,American,Outfielder
"Hairston, Scott",1250000,2,0,0,17,National,Outfielder
"Bruntlett, Eric",800000,4,0,0,2,National,Outfielder
"Gardner, Brett",414000,0,0,0,0,American,Outfielder
"Cabrera, Orlando",4000000,10,0,0,8,American,Infielder
"Jackson, Conor",3050000,3,0,0,12,National,Infielder
"Byrd, Marlon",3060000,4,0,0,10,American,Outfielder
"Ishikawa, Travis",401000,0,0,0,3,National,Infielder
"Teixeira, Mark",20625000,6,0,0,13,American,Infielder
"Pagan, Angel",575000,2,0,0,0,National,Outfielder
"Thurston , Joe",475000,1,0,0,0,National,Infielder
"Kendall, Jason",5000000,13,0,0,2,National,Catcher
"Pierre, Juan",10000000,8,0,0,1,National,Outfielder
"Reyes, Jose",6125000,5,0,1,16,National,Infielder
"Blanco, Henry",750000,11,0,0,3,National,Catcher
"Pedroia, Dustin",1750000,2,0,0,17,American,Infielder
"Lind, Adam",411800,0,0,0,9,American,Outfielder
"Francoeur, Jeff",3375000,3,0,0,11,National,Outfielder
"Polanco, Placido",4600000,9,0,1,8,American,Infielder
"Larish, Jeff",403000,0,0,0,2,American,Infielder
"Ross, Cody",2225000,3,0,0,22,National,Outfielder
"McLouth, Nate",2500000,3,0,0,26,National,Outfielder
"Delgado, Carlos",12000000,14,0,0,38,National,Infielder
"Lopez, Felipe",3500000,6,0,0,6,National,Infielder
"Dellucci, David",4000000,9,0,0,11,American,Outfielder
"Anderson, Garret",2500000,14,0,0,15,National,Outfielder
"Berkman, Lance",14500000,9,0,0,29,National,Infielder
"Young, Delmon",1152000,2,0,0,10,American,Outfielder
"Headley, Chase",411500,2,0,0,9,National,Outfielder
"Berkman, Lance",14500000,9,0,0,29,National,Infielder
"Smith, Seth",403000,0,0,0,4,National,Outfielder
"Johnson, Nick",5500000,8,0,0,5,National,Infielder
"Kinsler, Ian",3200000,3,0,0,18,American,Infielder
"Pena Jr., Tony (Francisco)",425000,2,0,1,1,American,Infielder
"Fields, Josh",410000,0,0,0,0,American,Infielder
"Cabrera, Miguel",14383049,5,0,0,37,American,Infielder
"Giles, Brian",9000000,12,0,0,12,National,Outfielder
